Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.194.95-10.100.56.126-443-34034-6,172.217.194.95,443,10.100.56.126,34034,6,24/06/2019 01:48:24 PM,15206296,3,1,0,0,0,0,0,0,0,0,0,0,0,0.263048937,5068765.333,8297774.912,1.46E+07,135180,1.51E+07,7535558,1.01E+07,1.46E+07,422340,0,0,0,0,0,0,0,0,0,72,32,0.197286703,0.065762234,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,-1,29200,0,0,557520,0,557520,557520,1.46E+07,0,1.46E+07,1.46E+07,No Label
10.100.56.13-103.5.150.9-14056-53-17,10.100.56.13,14056,103.5.150.9,53,17,24/06/2019 01:06:54 PM,1790101,1,2,39,377,39,39,39,0,338,39,188.5,211.4249276,232.3891222,1.675883093,895050.5,1246208.527,1776253,13848,0,0,0,0,0,1790101,1790101,0,1790101,1790101,0,0,0,0,8,16,0.558627698,1.117255395,39,338,113.75,149.5,22350.25,0,0,0,0,0,0,0,0,2,151.6666667,39,188.5,0,0,0,0,0,0,1,39,2,377,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
10.100.56.13-123.151.10.177-54651-14000-6,10.100.56.13,54651,123.151.10.177,14000,6,24/06/2019 01:08:59 PM,2992700,6,1,0,0,0,0,0,0,0,0,0,0,0,2.339024961,498783.3333,833306.2612,2001169,536,2992164,598432.8,890799.6602,2001169,581,0,0,0,0,0,0,0,0,0,240,40,2.004878538,0.334146423,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,-1,65535,0,0,0,0,0,0,0,0,0,0,No Label
172.217.194.95-10.100.56.126-443-33918-6,172.217.194.95,443,10.100.56.126,33918,6,24/06/2019 01:47:50 PM,17609327,10,1,0,0,0,0,0,0,0,0,0,0,0,0.624668961,1760932.7,4683364.653,1.51E+07,31885,1.74E+07,1936029.889,4932618.827,1.51E+07,31885,0,0,0,0,0,0,0,0,0,260,32,0.567880874,0.056788087,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,-1,29200,0,0,1871254,0,1871254,1871254,1.51E+07,0,1.51E+07,1.51E+07,No Label
10.100.56.126-74.125.24.95-42036-443-6,74.125.24.95,443,10.100.56.126,42036,6,24/06/2019 01:51:05 PM,15254499,2,1,0,0,0,0,0,0,0,0,0,0,0,0.196663293,7627249.5,1.07E+07,1.52E+07,50098,1.52E+07,1.52E+07,0,1.52E+07,1.52E+07,0,0,0,0,0,0,0,0,0,40,32,0.131108862,0.065554431,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,29200,0,0,50098,0,50098,50098,1.52E+07,0,1.52E+07,1.52E+07,No Label
10.100.56.126-74.125.24.95-41768-443-6,74.125.24.95,443,10.100.56.126,41768,6,24/06/2019 01:49:44 PM,15228998,4,1,0,0,0,0,0,0,0,0,0,0,0,0.32832101,3807249.5,7440489.542,1.50E+07,34600,1.52E+07,5050062.667,8589168.734,1.50E+07,34600,0,0,0,0,0,0,0,0,0,92,32,0.262656808,0.065664202,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,-1,29200,0,0,261233,0,261233,261233,1.50E+07,0,1.50E+07,1.50E+07,No Label
10.100.56.49-120.89.97.14-57258-443-6,10.100.56.49,57258,120.89.97.14,443,6,24/06/2019 01:27:07 PM,82160,4,5,568,147,517,0,142,251.1533396,147,0,29.4,65.74039854,8702.531646,109.5423564,10270,15314.15802,37383,351,37769,12589.66667,17298.89272,32437,713,82160,20540,19490.08291,37383,351,0,0,0,0,128,176,48.68549172,60.85686465,0,517,71.5,163.4273539,26708.5,0,1,0,0,0,0,0,0,1,79.44444444,142,29.4,0,0,0,0,0,0,4,568,5,147,-1,261,2,0,0,0,0,0,0,0,0,0,No Label
172.217.194.95-10.100.56.114-443-33474-6,172.217.194.95,443,10.100.56.114,33474,6,24/06/2019 01:42:43 PM,1126692,14,1,1015,0,457,0,72.5,159.3601388,0,0,0,0,900.8673178,13.31331011,80478,190271.8234,576902,1,1108780,85290.76923,197152.2568,576902,1,0,0,0,0,0,0,0,0,0,280,32,12.42575611,0.887554008,0,457,63.4375,150.4087625,22622.79583,0,1,0,0,1,0,0,0,0,67.66666667,72.5,0,0,0,0,0,0,0,14,1015,1,0,-1,29200,3,0,0,0,0,0,0,0,0,0,No Label
10.100.56.126-74.125.24.95-41548-443-6,74.125.24.95,443,10.100.56.126,41548,6,24/06/2019 01:48:43 PM,15511441,3,1,0,0,0,0,0,0,0,0,0,0,0,0.257874172,5170480.333,8742217.751,1.53E+07,50548,1.53E+07,7657661,1.08E+07,1.53E+07,50548,0,0,0,0,0,0,0,0,0,60,32,0.193405629,0.064468543,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,-1,29200,0,0,246667,0,246667,246667,1.53E+07,0,1.53E+07,1.53E+07,No Label
172.217.194.95-10.100.56.126-443-34848-6,172.217.194.95,443,10.100.56.126,34848,6,24/06/2019 01:52:25 PM,19566477,5,1,0,0,0,0,0,0,0,0,0,0,0,0.306646925,3913295.4,8018755.636,1.82E+07,81934,1.93E+07,4825535.5,8954665.969,1.82E+07,81934,0,0,0,0,0,0,0,0,0,136,32,0.255539104,0.051107821,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,-1,29200,0,0,1319913,0,1319913,1319913,1.82E+07,0,1.82E+07,1.82E+07,No Label
